CardName  M-Castle  M-Wall      M- monster    M-brick   M- jewel    O-castle    O-Wall	O-Monster    O-brick  O-jewel  IS-playagain  IS-Special     attack     SpecialNumber     function
狂野蛮族	        0       0       -1      0       -3      0       0       0               0       0       0       0       4       0       （怪物1）4点攻击，宝石-3
百科全书	        0       0       -3      0       0       0       0       0               0       0       0       1       0       25      （怪物3）怪物产量+1
精灵密探	        0       0       -2      0       0       0       0       0               0       0       1       1       0       26      （怪物2）换一张牌后再次出牌
敌我不分	        0       0       -3      0       0       0       0       0               0       0       0       1       6       27      （怪物3）6点攻击，己方遭受3点攻击
野蛮射手        0       -1      -4      0       0       -1      0       0               0       0       0       0       0        0       （怪物4）对方城堡-3，己方城堡-1
神奇仙女        0       0       -6      0       0       -2      0       0               0       0       1       0       0        0       （怪物6）对方城堡-2，再次出牌
食人恶魔        0       0       -3      0       0       0       0       0               0       0       0       0       5        0       （怪物3）5点攻击
矮人工匠        0       3       -5      0       0       0       0       0               0       0       0       0       4        0       （怪物5）4点攻击，城墙+3
灵蛇剧毒        0       0       -6      0       0       -4      0       0               0       0       0       0       0        0       （怪物6）对方城堡-4
驯兽专家        0       0       -7      0       0       0       0       0               0       0       0       1       0       28       （怪物7）怪物产量+2
高塔之妖        2     	4       -8      0       0       0       0       0               0       0       0       0       2        0       （怪物8）2点攻击，城墙+4，城堡+2
月圆之夜        0       0       3       0       0       0       0       0               0       0       0       1       0       29       （怪物0）双方怪兽产量同时+1，你再得到3个怪兽
杀手无情        0       0       -5      0       0       0       0       0               0       0       0       0       6        0       （怪物5）6点攻击
嗜血巨魔        0       0       -6      0       0       0       0       0               0       0       0       0       7        0       （怪物6）7点攻击
恶灵魔兽        0       0       -6      0       0       0       0       -3              0       0       0       0       6        0       （怪物6）6点攻击，对手怪物-3
恶鬼作怪        0       0       -10     -5      -5      0       0       -5              -5      -5      0       0       6        0       （怪物10）6点攻击，双方砖头、宝石和怪物同时-5
喷火甲虫        0       0       -8      0       0       0       0       0               0       0       0       1       0       30       （怪物8）对手没有城墙时10点攻击，否则6点攻击
半人半狼        0       0       -9      0       0       0       0       0               0       0       0       0       9        0       （怪物9）9点攻击
冷血杀手        0       0       -11     0       0       0       0       0               0       0       0       1       0       31       （怪物11）对手没有城墙时7点攻击，否则10点攻击
独角神兽        0       0       -9      0       0       0       0       0               0       0       0       1       0       32       （怪物9）宝石产量多于对手时12点攻击，否则8点
精灵射手        0       0       -10     0       0       0       0       0               0       0       0       1       0       33       （怪物10）城墙少于对手时6点攻击，否则对手城堡-5
绝命女妖        0       0       -14     0       0       -5      0       -8              0       0       0       0       0        0       （怪物14）对手城堡-5，怪物-8
上古神兽        0       0       -11     0       0       0       0       0               0       0       0       1       8       34       （怪物11）8点攻击，对手砖头产量-1
无影神偷        0       0       -12     3       5       0       0       0               -5      -10     0       0       0        0       （怪物12）对手宝石-10，砖头-5，你得到其中的一半
岩石巨人        0       4       -15     0       0       0       0       0               0       0       0       0       10       0      （怪物17）10点攻击，城墙+4
吸血僵尸        0       0       -17     0       0       0       0       -5              0       0       0       1       10      35      （怪物17）10点攻击，对手怪物-5，怪物产量-1
无敌天龙        0       0       -25     0       0       0       0       0               0       -10     0       1       20      36      （怪物25）20点攻击，对手宝石-10，怪物产量-1 
